concepts,phrases,cosine similarity
hiatal hernia,horrible hiatal hernia,0.889093816280365
hiatal hernia,hiatal hernia with inflammation,0.8127005100250244
hiatal hernia,hiatal hernia with symptoms,0.7884548306465149
hiatal hernia,hiatal hernia symptoms,0.7622634768486023
hiatal hernia,horrible hiatal hernia symptoms,0.7376735210418701
panic attacks,panic attacks in the beginning,0.8851956725120544
panic attacks,loads of panic attacks,0.8722753524780273
panic attacks,panic attacks for the first time,0.8344153761863708
panic attacks,uncontrollable panic attacks,0.8337018489837646
panic attacks,panic attacks from each thought,0.8259029388427734
panic attacks,panic attacks with short burst,0.8218702077865601
panic attacks,panic attacks during these afternoon,0.7829451560974121
panic attacks,panic attacks during these afternoon cold feelings,0.7062972784042358
panic attacks,panic attacks with short burst of prednisone,0.6301326155662537
mesh,cm mesh,0.7079614400863647
mesh,mesh repair,0.6593507528305054
mesh,linguinal mesh,0.5815998315811157
mesh,mesh complications,0.5796568393707275
mesh,mesh inguinal hernia,0.42586591839790344
mesh,linguinal mesh repair,0.3759596347808838
mesh,mesh inguinal hernia repair,0.34915751218795776
weeks,weeks time,0.8986740112304688
weeks,weeks at a time,0.8662948608398438
weeks,weeks today,0.8347386121749878
weeks,weeks max,0.8294761180877686
weeks,weeks for a month,0.8152298927307129
weeks,weeks for things,0.8051695823669434
weeks,weeks to months,0.8040220737457275
weeks,matter of weeks,0.7992303967475891
weeks,weeks in a row,0.7857065200805664
post,post op,0.7757760286331177
post,post man,0.6924301385879517
post,forum post,0.6878370046615601
post,post- op,0.6673866510391235
post,post op help,0.6653362512588501
post,other post,0.6644389629364014
post,post opp,0.65781569480896
post,post op problems,0.6573075652122498
post,huge post,0.6541751623153687
open,open questions,0.6328656673431396
open,open mind,0.5970991849899292
open,open places,0.5883223414421082
open,open air,0.562667965888977
open,open muscle,0.5578006505966187
open,open arms,0.5411642789840698
open,open heart,0.5405557155609131
open,open appointment,0.5277184247970581
open,open areas,0.5262410640716553
inguinal hernia,inguinal hernia problems,0.8823705911636353
inguinal hernia,inguinal hernia in both groins,0.8687584400177002
inguinal hernia,inguinal hernia surgery,0.8641510009765625
inguinal hernia,inguinal hernia truss,0.8422015905380249
inguinal hernia,desarda inguinal hernia,0.7755069732666016
inguinal hernia repair,inguinal hernia repair surgery,0.9741919040679932
inguinal hernia repair,desarda inguinal hernia repair,0.7921873331069946
hernia repair,hernia repair surgery,0.9461153745651245
hernia repair,hernia repair tips,0.8743685483932495
repair,repair items,0.7840105295181274
repair,repair area,0.7661563158035278
repair,repair in the uk,0.7246031165122986
repair,repair tips,0.7016675472259521
repair,repair surgery as repair,0.6562342643737793
repair,repair with mesh,0.6419965028762817
repair,repair mesh,0.6347314119338989
repair,fem repair,0.6277382969856262
repair,repair pain,0.6201813220977783
sensitive,sensitive subject,0.8294281959533691
sensitive,sensitive soul,0.7257028818130493
sensitive,sensitive eyes,0.6773149967193604
sensitive,sensitive nipples,0.6501649618148804
sensitive,sensitive muscle,0.6416950821876526
sensitive,sensitive neck,0.5989506244659424
sensitive,sensitive stomach,0.5892823338508606
sensitive,sensitive spots,0.5813672542572021
sensitive,sensitive neuropathy,0.4308607578277588
inner,inner side,0.7712552547454834
inner,inner eye,0.6690679788589478
inner,inner muscle,0.6452267169952393
inner,inner arms,0.6363444328308105
inner,inner cheek,0.6315443515777588
inner,inner puss,0.6108577847480774
inner,inner itch,0.6060026288032532
inner,inner leg,0.5928457975387573
inner,inner labia,0.5798754692077637
news,tv news,0.8586100339889526
news,news articles,0.7578089237213135
news,news about the blood,0.5339654684066772
news,brilliant news,0.5096489191055298
news,news about the blood clots,0.3975592851638794
news,news on desarda inguinal hernia,0.24694722890853882
news,news on desarda inguinal hernia repair,0.19748666882514954
hernia,hernia front,0.8418718576431274
hernia,hernia at the end,0.838491678237915
hernia,hernia surgery,0.8364673852920532
hernia,hernia in order,0.8211132287979126
hernia,intial hernia,0.8182932138442993
hernia,hernia problems,0.8105908632278442
hernia,hernia mesh,0.8034220933914185
hernia,hernia on the left,0.8013603091239929
hernia,hernia front to back,0.7787942886352539
advice,other advice,0.840774655342102
advice,lots of advice,0.8336875438690186
advice,way of advice,0.8160008788108826
advice,advice im,0.7878317832946777
advice,advice for people,0.7813549041748047
advice,advice in advance,0.7772513628005981
advice,advice from people,0.7717863321304321
advice,advice line,0.7589501142501831
advice,sensible advice,0.7521569728851318
hiatus hernia,hiatus hernia front,0.9442102313041687
hiatus hernia,hiatus hernia surgery,0.9225929975509644
hiatus hernia,hiatus hernia front to back,0.9129772782325745
hiatus hernia,cm hiatus hernia,0.8816708922386169
hiatus hernia,hiatus hernia symptoms,0.8786903619766235
hiatus hernia,hiatus hernia front to back pain,0.8561208248138428
oesophagus,oesophagus infection,0.8628366589546204
oesophagus,oesophagus biopsy,0.7692506313323975
oesophagus,barrett oesophagus,0.7453815937042236
oesophagus,barretts oesophagus,0.7370012998580933
oesophagus,oesophagus terrible sleeping issues,0.6428605914115906
oesophagus,barrett oesophagus biopsy,0.5738652944564819
terrible,terrible things,0.6776491403579712
terrible,terrible side,0.6662513613700867
terrible,terrible time,0.6612656116485596
terrible,terrible stories,0.6601051092147827
terrible,terrible night,0.6600989103317261
terrible,terrible decision,0.6586942076683044
terrible,terrible drug,0.6566802263259888
terrible,terrible back,0.6507161855697632
terrible,terrible experience,0.6411080360412598
sleeping,regards to sleeping,0.7625136375427246
sleeping,sleeping bed,0.6792460083961487
sleeping,sleeping issue,0.6702585816383362
sleeping,sleeping schedule,0.6332012414932251
sleeping,sleeping problems,0.6300864815711975
sleeping,sleeping partner,0.6161400079727173
sleeping,sleeping position,0.5952591896057129
sleeping,sleeping pattern,0.5711672902107239
sleeping,sleeping aid,0.5559960007667542
weight loss,weight loss journey,0.8181346654891968
weight loss,weight loss issues,0.816238522529602
weight loss,huge weight loss,0.8012695908546448
weight loss,weight loss side,0.7898495197296143
weight loss,weight loss experiences,0.7866101264953613
weight loss,weight loss plan,0.7760699987411499
weight loss,weight loss post,0.774380087852478
weight loss,weight loss side effects,0.7179797887802124
weight loss,weight loss post cessation,0.6954315304756165
loss,loss side,0.818081259727478
loss,loss thing,0.8049386739730835
loss,loss post,0.7453842163085938
loss,loss as am,0.7158219814300537
loss,loss issues,0.7045655846595764
loss,loss journey,0.7001634836196899
loss,loss with no mention,0.6991264820098877
loss,loss in the left,0.6956850290298462
loss,loss plan,0.6935275793075562
breathing problems,breathing problems on candersartan,0.6902850866317749
berkshire,berkshire hernia centre,0.6003941297531128
tapering,tapering method,0.784745991230011
tapering,tramodol tapering,0.7384213209152222
day,day in day,0.870006263256073
day,day today,0.8503094911575317
day,day for days,0.8298580646514893
day,day everyday,0.8184397220611572
day,day to day,0.8165566921234131
day,day at a time,0.80582195520401
day,day after day,0.7932312488555908
day,day yesterday,0.7897048592567444
day,day by day,0.7892680764198303
sudden,sudden thing,0.8800235986709595
sudden,sudden af,0.8116403818130493
sudden,sudden type,0.6911571025848389
sudden,sudden body,0.6814886331558228
sudden,sudden shooting,0.6629984974861145
sudden,sudden feeling,0.6539285778999329
sudden,sudden attack,0.6425356864929199
sudden,sudden episodes,0.6412245035171509
sudden,sudden heart,0.6393089294433594
blockage,blockage for some reason,0.8579705953598022
blockage,blockage at the top,0.7636756896972656
blockage,blockage in the large bowel,0.5091081857681274
blockage,blockage at the top of the urethra,0.43994688987731934
electric shock,electric shock for a brief moment,0.8940714597702026
electric shock,electric shock in the area,0.8602854609489441
electric shock,electric shock syndrome,0.8184497356414795
electric shock,electric shock in hands,0.8031190633773804
new,new thing,0.801240086555481
new,new one,0.8005447387695312
new,hi. new,0.7725542187690735
new,new stuff,0.7618221640586853
new,new start,0.7249422669410706
new,new way,0.7002574801445007
new,new ones,0.6980617046356201
new,new member,0.6964854001998901
new,new post,0.6845639944076538
muscles,ab muscles,0.8221526145935059
muscles,lean muscles,0.7758276462554932
muscles,backside muscles,0.7502415776252747
muscles,muscles for sex,0.7374807000160217
muscles,other ab muscles,0.7338716387748718
muscles,muscles at the base,0.7181280851364136
muscles,muscles in the abdomen,0.710119903087616
muscles,pt muscles,0.7053242325782776
muscles,muscles in pain,0.6969639658927917
hot,hot right,0.8158135414123535
hot,hot im,0.8073930144309998
hot,hot thing,0.7418251037597656
hot,hot sensation,0.7047054171562195
hot,hot body,0.6884127855300903
hot,hot shot,0.6853398084640503
hot,hot feelings,0.65873122215271
hot,hot summer,0.6542591452598572
hot,hot cup,0.6326961517333984
heart palpitations,weird heart palpitations,0.9237726926803589
heart palpitations,crazy heart palpitations,0.9056822061538696
heart palpitations,heart palpitations sore skin,0.7581518888473511
heart palpitations,heart palpitations varicose veins,0.7349873781204224
reality,reality into perspective,0.6317200660705566
brain,other brain,0.7931417226791382
brain,brain matter,0.78835129737854
brain,brain area,0.7620129585266113
brain,brain god,0.7603471279144287
brain,brain nerves,0.7234031558036804
brain,horrible brain,0.7186248302459717
brain,such brain,0.7076147794723511
brain,brain issue,0.7026423215866089
brain,awful brain,0.7012175917625427
head pressure,wierd head pressure,0.9092559218406677
head pressure,head pressure on the side,0.867512047290802
head pressure,head pressure on top,0.8546597957611084
head pressure,wierd head pressure on top,0.8049653172492981
head pressure,head pressure symptoms,0.779831051826477
head pressure,head pressure on the side of inflammation,0.6499701142311096
constant,constant issue,0.8205716609954834
constant,constant causing,0.7935680747032166
constant,constant thing,0.791199803352356
constant,constant change,0.7629332542419434
constant,constant source,0.7599875926971436
constant,constant spilt,0.7248251438140869
constant,constant running,0.6826093792915344
constant,constant hour,0.6780058145523071
constant,constant state,0.6714321374893188
vestibular neuritis,vestibular neuritis-,0.994112491607666
vestibular neuritis,vestibular neuritis 'anyone,0.9422692060470581
dizziness,strange dizziness,0.9269223213195801
dizziness,weird dizziness,0.9227899312973022
dizziness,dizziness for a bit,0.9115601778030396
dizziness,dizziness with a lot,0.9051250219345093
dizziness,dizziness head,0.8826308846473694
dizziness,dizziness brain,0.8825666308403015
dizziness,dizziness everyday,0.8795261979103088
dizziness,weird dizziness everyday,0.8607537746429443
dizziness,unnecessary dizziness,0.8505861759185791
balance,balance sense,0.8417477607727051
balance,balance issue,0.8053041100502014
balance,balance complex,0.7970812320709229
balance,balance feeling,0.7836312055587769
balance,balance issues with lots of things,0.7058236598968506
balance,balance feelings,0.6770502924919128
balance,balance doctor,0.6740757822990417
balance,balance issues with lots,0.6316637992858887
balance,balance without boot,0.5700211524963379
cross-eyed,cross-eyed feeling,0.86452317237854
cross-eyed,cross-eyed sensation,0.8495913147926331
feeling,feeling tho,0.8109399080276489
feeling,feeling crap,0.7561502456665039
feeling,awful feeling,0.7486517429351807
feeling,such feeling,0.7454207539558411
feeling,crappy feeling,0.7441467046737671
feeling,feeling pain,0.7384882569313049
feeling,tingly feeling,0.73766028881073
feeling,feeling of stuff,0.72850102186203
feeling,feeling of ache,0.719514012336731
nausea,nausea l,0.8749488592147827
nausea,nausea at times,0.856001615524292
nausea,unabating nausea,0.8323699235916138
nausea,awful nausea,0.8078972101211548
nausea,nausea everyday,0.8025633692741394
nausea,nausea for a couple,0.7989581823348999
nausea,nausea chest,0.7747268676757812
nausea,nausea for a couple of days,0.7649376392364502
nausea,nausea at the same time,0.7573182582855225
urinary tract,urinary tract progress,0.8284204602241516
urinary tract,urinary tract support,0.8154162168502808
urinary tract,urinary tract symptoms,0.7639350891113281
urinary tract,urinary tract support vitamins,0.602266252040863
tract,tract issues,0.8592662215232849
tract,tract progress,0.8002536296844482
tract,tract support,0.7996494174003601
tract,tract symptoms,0.6749855279922485
tract,tract infections,0.625083327293396
tract,tract chronic infection,0.6140815019607544
tract,tract support vitamins,0.541361927986145
tract,tract infections symptoms,0.46690064668655396
occipital neuralgia,occipital neuralgia,1.000000238418579
neuralgia,intercostal neuralgia,0.7775341272354126
recovery,recovery recovery,0.9409270882606506
recovery,recovery in this kind,0.9337468147277832
recovery,recovery treatment,0.8829449415206909
recovery,recovery story,0.877883791923523
recovery,recovery part,0.845477819442749
recovery,terms of recovery,0.8426972031593323
recovery,recovery without a doubt,0.838005781173706
recovery,recovery routine,0.8379057049751282
recovery,recovery with the help,0.8337734937667847
sore,sore pain,0.849123477935791
sore,sore spot,0.8063384890556335
sore,sore one,0.7969248294830322
sore,sore face,0.7870573997497559
sore,sore burning,0.752292275428772
sore,sore area,0.750916600227356
sore,sore muscle,0.7432476282119751
sore,sore bum,0.7404541969299316
sore,sore type,0.7393573522567749
dizzyness,dizzyness confusion,0.8824667930603027
dizzyness,dizzyness confusion amd,0.7786295413970947
methadone,methadone for years,0.8651119470596313
methadone,methadone program,0.8460252285003662
methadone,mg methadone,0.8107556104660034
methadone,methadone script,0.8088130354881287
methadone,methadone in rehab,0.7990503311157227
methadone,methadone adderall,0.7839254140853882
methadone,methadone adderall ritalin,0.7045814990997314
methadone,mg methadone adderall,0.6951234340667725
methadone,30mls of methadone,0.6643640995025635
