concepts|phrases
Drowsy|bit drowsy
Blurred vision - hazy|little blurred vision
Excessive upper gastrointestinal gas|gastric problems
Arthrotec|Arthrotec
Arthritis|arthritis
Agony|agony
Pain|pains
Malaise|feel a bit weird
Hunger pain|Hunger pangs
Hip pain|hip pain
Vaginal bleeding|vaginal bleeding
Stomach ache|stomach pain
Aphthous ulcer|canker sores
Headache|headache
Pain|pain
Dyspnoea|shortness of breath
Depression|depression
Muscle cramp|cramping
Upset stomach|upset stomache
Arthrotec|Arthrotec
Reduced mobility|I can't stand or walk for any lengths of time
Bleeding|bleeding
Arthrotec|Arthotec
Pain|pain and stiffness
Pain|so much pain
Malaise and fatigue|feel weak and almost fainted
Diarrhoea|diarrhea
Constipation|constipation
Fatigue|fatigue
Walking disability|the heel I couldn't walk on very well
Osteoarthrosis of hand|severe osteoarthritis in the hands
Osteoarthritis of knee|severe osteoarthritis in the knees
Pain|pain
Swelling of body region|body swelling
Facial swelling|swelling face
Swelling of wrist joint|swelling wrists
Abdominal swelling|swelling abdomen
Swelling of lower limb|swelling thighs
Insomnia|Insomina
Forgetful|forgetfulnes and confussion
Feeling empty|empty stomach feeling
Loose stool|loose stools
Arthrotec|Arthrotec
Arthrotec|Arthrotec
Arthrotec|Arthrotec
Pain|pain
Arthritis|arthritis
Rectal haemorrhage|rectal bleed
Generally unwell|extremely sick
Abdominal pain|Abdominal pain
Dizziness|Dizzieness
Haematuria|blood clots in urine
Urinary incontinence|urine leaking
Arthrotec|Arthrotec
Upset stomach|Upset stomach
Vomiting|throw up
Abdominal pain|pain in my stomach
Constant pain|deep constant pain
Arthrotec|Arthrotec
Pain|pain
Diarrhoea|diarrhea
Uterine spasm|uterine cramps
Menorrhagia|heavy menstrual bleeding
Excessive upper gastrointestinal gas|Alot of gas
Nausea|nausea
Pain|pain
Pain|pain
Pain|pain
Swelling|swelling
Flatulence/wind|little gas
Swelling|swelling
Abdominal pain|extreme stomach pain
Severe pain|horrible stomach pain
Constipation|constipation
Uterine spasm|uterine, cramps (menopausal for 20 years)
Ovarian pain|pain in the ovaries (menopausal for 20 years)
Pressure|pressure in the stomach
Urinary retention|couldn't urinate
Abdominal pain|severe stomach pain
Burping|constant burping
Stomach cramps|stomach cramping
Menstrual cramp|period cramps
Severe pain|extreme pain
Uterine spasm|uterus starting to have spasms
Pain|worst pain I have ever experienced
Nausea|nausea
Pain|pain
Pain|pain
Bleeding between periods|bleeding and I was on day 12 of my cycle
Backache|back pain
Pain of uterus|uterus pain and cramping
Arthrotec|arthrotec
Stomach cramps|severe stomach cramping
Celebrex|celebrex
Stomach ache|stomach pain
Increased venous pressure|high blood pressure
Swollen ankle|ankle swelling
Stomach cramps|Stomach cramps
Excessive upper gastrointestinal gas|gassy
Pain|pain
Pain|pain
Swelling|Swelling
Weight increased|weight increase
Pain|pain
Diarrhoea|Diarrhea
Arthralgia|arthritis pain
Acid reflux|affecting my stomach(acid reflux)
Renal impairment|affecting my kidneys
Diarrhoea|diarrhea
Increased appetite|appetite increase
Feeling empty|stomach feels empty all the time
Pain|pain
Increased appetite|appetite increase
Headache|Headache
Dizziness|dizziness
Headache|headache
Reduced mobility|could only walk less than 100 meters
Uterine spasm|uterine cramping
Cold sweat|cold sweat, shaking uncontrollably
Nausea|nauseated
Frequent defaecation|several bowel movements
Feeling faint|I felt like I was going to pass out
Pain|pain
Bleeding between periods|vaginal bleeding and I am only 11 days into my cycle
Severe pain|gut wrenching pain
Impending shock|going into shock
ibuprofen|Ibuprofen
Dizziness|dizzines
Diarrhoea|dioreah
Stomach cramps|stomach cramps
Disorientated|disorientation
Gastric ulcer|ulceration of stomach
Ulcer of oesophagus|ulceration of the osophragus
Infective cystitis|infections of the blader
C/O - feeling depressed|feeling depressed
Fatigue|feeling exausted
Arthrotec|arthrotec
Stomach cramps|pain with stomach cramps
Diarrhoea|diarrhoa
Menorrhagia|heavy menstral bleeding with clots even though i had just finished my cycle a week before
Urinary retention|couldnt pass urine
Haematuria|urine full of blood
Asthenia|felt very weak
Tremor|could not stop shaking
Bleeding|bleeding
Abdominal pain|abdominal pain
Arthrotec|arthrotec
Bleeding|bleeding
Vomiting|threw up
Stomach cramps|Stomach cramps
Excessive upper gastrointestinal gas|gas
Constipation|constipation
Headache|headaches
Cramp in lower limb|muscles in my left leg locked up
Urinary frequency|5-6 times at night to pee; normally 1 or 2
Vomiting|vomited
Abdominal pain|abdominal pain
Vaginal bleeding|vaginal bleeding
Stomach cramps|stomach cramps
Diarrhoea|diarrhea
Nausea|nausea
Knee pain|knee pain
Osteoarthritis|osteoarthritis
Pain|pain
Illness|sick
Abdominal wind pain|stomach gas and intense pain
Excessive upper gastrointestinal gas|gastrointestinal cramping
Diarrhoea|diarrhea
Pain|pain pain pain
Arthritis|arthritis
Knee pain|knee pain
Illness|sick
Menstrual cramp|menstrual cramps
Backache|back ache
Upset stomach|sick to stomach
Low back pain|lower back pain
Nausea|nausea
Upset stomach|sick to my stomach
Celebrex|Celebrex
Muscle cramp|mild cramps
Bloating symptom|bloating
Pain|pain
Andrews Tums Antacid|Tums
Post traumatic osteoarthritis|post traumaic osteoarthritis
Arthrotec|Arthrotec
Pain|pain
Limping|limp
Excessive upper gastrointestinal gas|gastritis
Upset stomach|severe stomach upset
Decrease in appetite|very poor appetite
Menorrhagia|increased menstruation
Excessive and frequent menstruation|2-3 periods a month instead of once a month
Menstrual cramp|menstrual cramps with vaginal bleeding
Menstrual cramp|menstrual cramps without vaginal bleeding
Menopause present|menopausal phase
Swollen legs|swelling of the legs
Pain|pain
Arthrotec|arthritis strength tylenol
Tylenol|Tylenol 3
Cannot sleep at all|Couldn't sleep
Pain|pain
Unable to concentrate|No concentration
Arthrotec|arthrotec 50
Pain|pain
Arthralgia|arthritic pain
Menorrhagia|Heavy menstrual bleeding
Muscle cramp|cramps
Nausea|nausea
Bleeding|bleeding
Muscle cramp|cramps
Stomach problem|stomach problems
Pain|pain
Foot pain|pain in foot
Arthrotec|Arthrotec
Zantac|Zantac
Haematochezia|blood in my stools
Muscle cramp|major cramps
Foot pain|foot pain
Nausea|Stomach queasy
Celebrex 200 mg capsule: hard|Celebrex 200mg
meloxicam|Meloxicam
Osteoarthritis|OA
Pain|pain
Limping|limp
Hip pain|Spine & hip pain
Menopause present|Menopausal
Celebrex|Celebrex
Rheumatoid arthritis|RA
caffeine|caffeine
Irregular bowel habits|irregular bowel
Andrews Tums Antacid|Tums
Fatigue|Fatigue
Constipation|Constipation
Diarrhoea|diahorea
Haematochezia|passing blood and clots with stoals
Stomach cramps|Painful stomach cramps
Anxiety|anxiety
Headache|severe headaches
Stomach ache|stomach pain
Loose stool|loose stool
Cramp in lower limb|muscle spasms in leg
Spasm|spasms in left arm
Arthralgia|athritic pain
Knee pain|knee pain
Knee pain|knee pain
Celebrex|celebrex 8
Arthrotec|arthrotec 75
Celebrex|celebrex
Arthralgia|joint pain
Stomach ache|stomach pain
Deep pain|deep pain- like gas pains
Feeling empty|stomach emptiness and pain
Flushing|hot flashes
Sweating|sweated
Stomach ache|pain in the pit of my stomach
Generalised aches and pains|deep ache from my waist down to the heels of my feet
Backache|back labor pains
Upset stomach|stomach stayed upset and painful
Deep pain|deep pain in my pelvis and down my legs
Muscle cramp|increase in cramping
Large breast|breasts getting more and more (and more!
ibuprofen|ibuprofen
Aleve|Aleve
naproxen|naproxen sodium
Ulcer|ulcers
Lyrica|Lyrica
Menorrhagia|excessive mestrual bleeding
prednisone|Prednisone
codeine|Codeine
prednisone|prednisone
cortisone|corti-cortisones
pseudoephedrine|pseudoephedrine
morphine|morphine
pethidine|demerol
Hunger pain|hungry feeling
Low back pain|Lower Back Pain
Pain|pain
Severe pain|pain severe
Acid reflux|acid reflux
Acid reflux|acidic bile in my mouth
Finding of increased blood pressure|blood pressure slightly elevated
Shoulder tendonitis|acute shoulder tendonitis
Agony|agony
Inflammatory disorder|inflammation
Dizziness|dizziness
Nausea|nausea
Stomach ache|stomach pain
Arthralgia|pain in major joints
Hypertension|Elevated blood pressure
Palpitations|heart palpitations
Dizziness|dizzy
Excessive upper gastrointestinal gas|Extreme gas in stomach and intestines
Acid reflux|acid reflux-type symptoms
Reflux|reflux
Upset stomach|stomach irritation
Low back strain|pulled my lower back
Arthrotec|Arthrotec 75
Pain|pain
Arthrotec|arthrotec
Tylenol|tylenol #3
Severe pain|severe abdominal pain
Abdominal colic|bowel/uterine cramping
Shoulder pain|shoulder pain
Severe pain|severe pain
Tylenol|tylenol #3
Severe pain|Severe abdominal pain
Bloating symptom|bloating
Excessive upper gastrointestinal gas|gas
Nausea|nauseous
Hungry|hunger
Stomach ache|stomach is still sore
Myalgia|muscular pains
Diarrhoea|diahrea
Swollen ankle|ankle swelling
Tenalgia|lower tendon pain
Pain|pain
Pain|pain
